"Timestamp","Name","Sensor value"
"08/13/2019 - 15:22","pressure","1019.28"
"08/13/2019 - 15:22","temp","24.96"
"08/13/2019 - 15:22","height","0.000973717"
"08/13/2019 - 15:22","base_temp","26.1385"
"08/13/2019 - 15:22","base_humid","76.2107"
"08/13/2019 - 15:22","base_pressure","1009.28"
"08/13/2019 - 15:22","base_altitutde","32.9967"
"08/13/2019 - 15:22","depth","0.06"
"08/13/2019 - 15:23","base_pressure","1009.31"
"08/13/2019 - 15:23","base_altitutde","32.7642"
"08/13/2019 - 15:23","temp","24.95"
"08/13/2019 - 15:23","pressure","1019.27"
"08/13/2019 - 15:23","depth","0.06"
"08/13/2019 - 15:23","base_temp","25.9353"
"08/13/2019 - 15:23","batt","3.58359"
"08/13/2019 - 15:23","height","0.000970127"
"08/13/2019 - 15:23","base_humid","76.3294"
"08/13/2019 - 15:25","base_pressure","1009.34"
"08/13/2019 - 15:25","base_altitutde","32.9016"
"08/13/2019 - 15:25","temp","24.94"
"08/13/2019 - 15:25","pressure","1019.30"
"08/13/2019 - 15:25","depth","0.06"
"08/13/2019 - 15:25","base_temp","25.8387"
"08/13/2019 - 15:25","batt","3.55137"
"08/13/2019 - 15:25","height","0.000969462"
"08/13/2019 - 15:25","base_humid","76.9915"
"08/13/2019 - 15:27","base_pressure","1009.35"
"08/13/2019 - 15:27","base_altitutde","32.5528"
"08/13/2019 - 15:27","temp","24.93"
"08/13/2019 - 15:27","pressure","1019.33"
"08/13/2019 - 15:27","depth","0.06"
"08/13/2019 - 15:27","base_temp","25.7523"
"08/13/2019 - 15:27","batt","3.62549"
"08/13/2019 - 15:27","height","0.000971602"
"08/13/2019 - 15:27","base_humid","76.8906"
"08/13/2019 - 15:28","base_pressure","1009.36"
"08/13/2019 - 15:28","base_altitutde","32.3414"
"08/13/2019 - 15:28","temp","24.91"
"08/13/2019 - 15:28","pressure","1019.34"
"08/13/2019 - 15:28","depth","0.06"
"08/13/2019 - 15:28","base_temp","25.6762"
"08/13/2019 - 15:28","batt","3.59004"
"08/13/2019 - 15:28","height","0.000971602"
"08/13/2019 - 15:28","base_humid","77.7082"
"08/13/2019 - 15:30","base_pressure","1009.41"
"08/13/2019 - 15:30","base_altitutde","31.9821"
"08/13/2019 - 15:30","temp","24.89"
"08/13/2019 - 15:30","pressure","1019.37"
"08/13/2019 - 15:30","depth","0.07"
"08/13/2019 - 15:30","base_temp","25.6355"
"08/13/2019 - 15:30","batt","3.59004"
"08/13/2019 - 15:30","height","0.000969462"
"08/13/2019 - 15:30","base_humid","78.0065"
"08/13/2019 - 15:31","base_pressure","1009.39"
"08/13/2019 - 15:31","base_altitutde","32.5105"
"08/13/2019 - 15:31","temp","24.88"
"08/13/2019 - 15:31","pressure","1019.33"
"08/13/2019 - 15:31","depth","0.06"
"08/13/2019 - 15:31","base_temp","25.5492"
"08/13/2019 - 15:31","batt","3.59326"
"08/13/2019 - 15:31","height","0.000967703"
"08/13/2019 - 15:31","base_humid","78.1917"
"08/13/2019 - 15:33","base_pressure","1009.31"
"08/13/2019 - 15:33","base_altitutde","32.9333"
"08/13/2019 - 15:33","temp","24.86"
"08/13/2019 - 15:33","pressure","1019.26"
"08/13/2019 - 15:33","depth","0.06"
"08/13/2019 - 15:33","base_temp","25.5187"
"08/13/2019 - 15:33","batt","3.62871"
"08/13/2019 - 15:33","height","0.000969177"
"08/13/2019 - 15:33","base_humid","78.7738"
"08/13/2019 - 15:34","base_pressure","1009.34"
"08/13/2019 - 15:34","base_altitutde","32.6691"
"08/13/2019 - 15:34","temp","24.85"
"08/13/2019 - 15:34","pressure","1019.25"
"08/13/2019 - 15:34","depth","0.06"
"08/13/2019 - 15:34","base_temp","25.4982"
"08/13/2019 - 15:34","batt","3.58359"
"08/13/2019 - 15:34","height","0.000965468"
"08/13/2019 - 15:34","base_humid","78.3896"
"08/13/2019 - 15:36","base_pressure","1009.26"
"08/13/2019 - 15:36","base_altitutde","33.1552"
"08/13/2019 - 15:36","temp","24.83"
"08/13/2019 - 15:36","pressure","1019.18"
"08/13/2019 - 15:36","depth","0.06"
"08/13/2019 - 15:36","base_temp","25.4373"
"08/13/2019 - 15:36","batt","3.62871"
"08/13/2019 - 15:36","height","0.000966039"
"08/13/2019 - 15:36","base_humid","78.9836"
"08/13/2019 - 15:38","base_pressure","1009.28"
"08/13/2019 - 15:38","base_altitutde","33.3244"
"08/13/2019 - 15:38","temp","24.82"
"08/13/2019 - 15:38","pressure","1019.19"
"08/13/2019 - 15:38","depth","0.06"
"08/13/2019 - 15:38","base_temp","25.4221"
"08/13/2019 - 15:38","batt","3.63838"
"08/13/2019 - 15:38","height","0.000965183"
"08/13/2019 - 15:38","base_humid","79.0546"
"08/13/2019 - 15:40","base_pressure","1009.2"
"08/13/2019 - 15:40","base_altitutde","33.4512"
"08/13/2019 - 15:40","temp","24.81"
"08/13/2019 - 15:40","pressure","1019.16"
"08/13/2019 - 15:40","depth","0.06"
"08/13/2019 - 15:40","base_temp","25.3865"
"08/13/2019 - 15:40","batt","3.62871"
"08/13/2019 - 15:40","height","0.0970175"
"08/13/2019 - 15:40","base_humid","79.0228"
"08/13/2019 - 15:42","base_pressure","1009.16"
"08/13/2019 - 15:42","base_altitutde","34.3073"
"08/13/2019 - 15:42","temp","24.80"
"08/13/2019 - 15:42","pressure","1019.09"
"08/13/2019 - 15:42","depth","0.06"
"08/13/2019 - 15:42","base_temp","25.3256"
"08/13/2019 - 15:42","batt","3.6416"
"08/13/2019 - 15:42","height","0.0967298"
"08/13/2019 - 15:42","base_humid","78.9067"
"08/13/2019 - 15:43","base_pressure","1009.19"
"08/13/2019 - 15:43","base_altitutde","33.7788"
"08/13/2019 - 15:43","temp","24.79"
"08/13/2019 - 15:43","pressure","1019.12"
"08/13/2019 - 15:43","depth","0.06"
"08/13/2019 - 15:43","base_temp","25.29"
"08/13/2019 - 15:43","batt","3.59648"
"08/13/2019 - 15:43","height","0.0967393"
"08/13/2019 - 15:43","base_humid","78.8488"
"08/13/2019 - 15:45","base_pressure","1009.13"
"08/13/2019 - 15:45","base_altitutde","34.487"
"08/13/2019 - 15:45","temp","24.78"
"08/13/2019 - 15:45","pressure","1019.03"
"08/13/2019 - 15:45","depth","0.06"
"08/13/2019 - 15:45","base_temp","25.2646"
"08/13/2019 - 15:45","batt","3.56748"
"08/13/2019 - 15:45","height","0.096378"
"08/13/2019 - 15:45","base_humid","79.1207"
"08/13/2019 - 15:47","base_pressure","1009.14"
"08/13/2019 - 15:47","base_altitutde","34.5609"
"08/13/2019 - 15:47","temp","24.77"
"08/13/2019 - 15:47","pressure","1019.06"
"08/13/2019 - 15:47","depth","0.06"
"08/13/2019 - 15:47","base_temp","25.2646"
"08/13/2019 - 15:47","batt","3.55137"
"08/13/2019 - 15:47","height","0.0966181"
"08/13/2019 - 15:47","base_humid","79.0673"
"08/13/2019 - 15:48","base_pressure","1009.06"
"08/13/2019 - 15:48","base_altitutde","34.7935"
"08/13/2019 - 15:48","temp","28.29"
"08/13/2019 - 15:48","pressure","1031.89"
"08/13/2019 - 15:48","depth","0.19"
"08/13/2019 - 15:48","base_temp","25.2545"
"08/13/2019 - 15:48","batt","3.58681"
"08/13/2019 - 15:48","height","0.222311"
"08/13/2019 - 15:48","base_humid","78.8762"
"08/13/2019 - 15:50","base_pressure","1009.07"
"08/13/2019 - 15:50","base_altitutde","35.0154"
"08/13/2019 - 15:50","temp","29.61"
"08/13/2019 - 15:50","pressure","1032.03"
"08/13/2019 - 15:50","depth","0.19"
"08/13/2019 - 15:50","base_temp","25.2443"
"08/13/2019 - 15:50","batt","3.59326"
"08/13/2019 - 15:50","height","0.223545"
"08/13/2019 - 15:50","base_humid","79.2989"
"08/13/2019 - 15:51","base_pressure","1009.07"
"08/13/2019 - 15:51","base_altitutde","34.9309"
"08/13/2019 - 15:51","temp","30.69"
"08/13/2019 - 15:51","pressure","1032.38"
"08/13/2019 - 15:51","depth","0.20"
"08/13/2019 - 15:51","base_temp","25.2443"
"08/13/2019 - 15:51","batt","3.59648"
"08/13/2019 - 15:51","height","0.227023"
"08/13/2019 - 15:51","base_humid","78.6431"
"08/13/2019 - 15:54","base_pressure","1009.04"
"08/13/2019 - 15:54","base_altitutde","34.878"
"08/13/2019 - 15:54","temp","31.28"
"08/13/2019 - 15:54","pressure","1032.41"
"08/13/2019 - 15:54","depth","0.20"
"08/13/2019 - 15:54","base_temp","25.1527"
"08/13/2019 - 15:54","batt","3.51592"
"08/13/2019 - 15:54","height","0.227594"
"08/13/2019 - 15:54","base_humid","80.3438"
"08/13/2019 - 15:56","base_pressure","1009.04"
"08/13/2019 - 15:56","base_altitutde","35.2479"
"08/13/2019 - 15:56","temp","31.49"
"08/13/2019 - 15:56","pressure","1032.34"
"08/13/2019 - 15:56","depth","0.20"
"08/13/2019 - 15:56","base_temp","25.1223"
"08/13/2019 - 15:56","batt","3.59971"
"08/13/2019 - 15:56","height","0.226873"
